date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-09-21,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-09-21,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-09-22,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-09-22,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-09-23,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-09-23,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-09-24,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-09-24,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-09-25,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-09-25,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-09-28,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-09-28,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-09-29,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-09-29,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-09-30,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-09-30,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-01,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-01,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-02,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-02,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-05,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-05,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-06,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-06,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-07,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-07,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-08,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-08,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-09,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-09,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-12,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-12,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-13,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-13,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-14,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-14,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-15,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-15,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
2026-10-16,09:00,10:00,Team check-in,Yes,Leadership,Sales directors,yes,confirmed
2026-10-16,13:00,14:00,Customer account review,Yes,Customer,Customer;Account team,yes,confirmed
