date,start_min,end_min,category,status,leader_attending
2025-01-01,480,1050,holiday,confirmed,yes
2025-01-02,540,600,meeting,confirmed,yes
2025-01-02,660,720,customer,confirmed,yes
2025-01-02,750,780,break,confirmed,yes
2025-01-03,540,600,meeting,confirmed,yes
2025-01-03,660,720,customer,confirmed,yes
2025-01-03,750,780,break,confirmed,yes
2025-01-06,540,600,meeting,confirmed,yes
2025-01-06,660,720,customer,confirmed,yes
2025-01-06,750,780,break,confirmed,yes
2025-01-07,540,600,meeting,confirmed,yes
2025-01-07,660,720,customer,confirmed,yes
2025-01-07,750,780,break,confirmed,yes
2025-01-08,540,600,meeting,confirmed,yes
2025-01-08,660,720,customer,confirmed,yes
2025-01-08,750,780,break,confirmed,yes
2025-01-09,540,600,meeting,confirmed,yes
2025-01-09,660,720,customer,confirmed,yes
2025-01-09,750,780,break,confirmed,yes
2025-01-10,540,600,meeting,confirmed,yes
2025-01-10,660,720,customer,confirmed,yes
2025-01-10,750,780,break,confirmed,yes
2025-01-10,900,960,team,tentative,yes
2025-01-10,900,960,meeting,declined,yes
2025-01-13,540,600,meeting,confirmed,yes
2025-01-13,660,720,customer,confirmed,yes
2025-01-13,750,780,break,confirmed,yes
2025-01-14,540,600,meeting,confirmed,yes
2025-01-14,660,720,customer,confirmed,yes
2025-01-14,750,780,break,confirmed,yes
2025-01-15,540,600,meeting,confirmed,yes
2025-01-15,660,720,customer,confirmed,yes
2025-01-15,750,780,break,confirmed,yes
2025-01-15,900,990,personal_appointment,confirmed,yes
2025-01-16,540,600,meeting,confirmed,yes
2025-01-16,660,720,customer,confirmed,yes
2025-01-16,750,780,break,confirmed,yes
2025-01-17,540,600,meeting,confirmed,yes
2025-01-17,660,720,customer,confirmed,yes
2025-01-17,750,780,break,confirmed,yes
2025-01-17,900,960,team,tentative,yes
2025-01-20,540,600,meeting,confirmed,yes
2025-01-20,660,720,customer,confirmed,yes
2025-01-20,750,780,break,confirmed,yes
2025-01-21,540,600,meeting,confirmed,yes
2025-01-21,660,720,customer,confirmed,yes
2025-01-21,750,780,break,confirmed,yes
2025-01-22,540,600,meeting,confirmed,yes
2025-01-22,660,720,customer,confirmed,yes
2025-01-22,750,780,break,confirmed,yes
2025-01-23,540,600,meeting,confirmed,yes
2025-01-23,660,720,customer,confirmed,yes
2025-01-23,750,780,break,confirmed,yes
2025-01-24,540,600,meeting,confirmed,yes
2025-01-24,660,720,customer,confirmed,yes
2025-01-24,750,780,break,confirmed,yes
2025-01-27,540,600,meeting,confirmed,yes
2025-01-27,660,720,customer,confirmed,yes
2025-01-27,750,780,break,confirmed,yes
2025-01-28,540,600,meeting,confirmed,yes
2025-01-28,660,720,customer,confirmed,yes
2025-01-28,750,780,break,confirmed,yes
2025-01-29,540,600,meeting,confirmed,yes
2025-01-29,660,720,customer,confirmed,yes
2025-01-29,750,780,break,confirmed,yes
2025-01-30,540,600,meeting,confirmed,yes
2025-01-30,660,720,customer,confirmed,yes
2025-01-30,750,780,break,confirmed,yes
2025-01-31,540,600,meeting,confirmed,yes
2025-01-31,660,720,customer,confirmed,yes
2025-01-31,750,780,break,confirmed,yes
2025-02-03,540,600,meeting,confirmed,yes
2025-02-03,660,720,customer,confirmed,yes
2025-02-03,750,780,break,confirmed,yes
2025-02-04,540,600,meeting,confirmed,yes
2025-02-04,660,720,customer,confirmed,yes
2025-02-04,750,780,break,confirmed,yes
2025-02-05,540,600,meeting,confirmed,yes
2025-02-05,660,720,customer,confirmed,yes
2025-02-05,750,780,break,confirmed,yes
2025-02-06,540,600,meeting,confirmed,yes
2025-02-06,660,720,customer,confirmed,yes
2025-02-06,750,780,break,confirmed,yes
2025-02-07,540,600,meeting,confirmed,yes
2025-02-07,660,720,customer,confirmed,yes
2025-02-07,750,780,break,confirmed,yes
2025-02-10,540,600,meeting,confirmed,yes
2025-02-10,660,720,customer,confirmed,yes
2025-02-10,750,780,break,confirmed,yes
2025-02-11,540,600,meeting,confirmed,yes
2025-02-11,660,720,customer,confirmed,yes
2025-02-11,750,780,break,confirmed,yes
2025-02-12,540,600,meeting,confirmed,yes
2025-02-12,660,720,customer,confirmed,yes
2025-02-12,750,780,break,confirmed,yes
2025-02-13,540,600,meeting,confirmed,yes
2025-02-13,660,720,customer,confirmed,yes
2025-02-13,750,780,break,confirmed,yes
2025-02-14,540,600,meeting,confirmed,yes
2025-02-14,660,720,customer,confirmed,yes
2025-02-14,750,780,break,confirmed,yes
2025-02-14,900,960,team,tentative,yes
2025-02-17,480,1050,sick,confirmed,yes
2025-02-18,540,600,meeting,confirmed,yes
2025-02-18,660,720,customer,confirmed,yes
2025-02-18,750,780,break,confirmed,yes
2025-02-19,540,600,meeting,confirmed,yes
2025-02-19,660,720,customer,confirmed,yes
2025-02-19,750,780,break,confirmed,yes
2025-02-19,900,960,meeting,declined,yes
2025-02-20,540,600,meeting,confirmed,yes
2025-02-20,660,720,customer,confirmed,yes
2025-02-20,750,780,break,confirmed,yes
2025-02-21,540,600,meeting,confirmed,yes
2025-02-21,660,720,customer,confirmed,yes
2025-02-21,750,780,break,confirmed,yes
2025-02-24,540,600,meeting,confirmed,yes
2025-02-24,660,720,customer,confirmed,yes
2025-02-24,750,780,break,confirmed,yes
2025-02-25,540,600,meeting,confirmed,yes
2025-02-25,660,720,customer,confirmed,yes
2025-02-25,750,780,break,confirmed,yes
2025-02-26,540,600,meeting,confirmed,yes
2025-02-26,660,720,customer,confirmed,yes
2025-02-26,750,780,break,confirmed,yes
2025-02-27,540,600,meeting,confirmed,yes
2025-02-27,660,720,customer,confirmed,yes
2025-02-27,750,780,break,confirmed,yes
2025-02-28,540,600,meeting,confirmed,yes
2025-02-28,660,720,customer,confirmed,yes
2025-02-28,750,780,break,confirmed,yes
2025-03-03,540,600,meeting,confirmed,yes
2025-03-03,660,720,customer,confirmed,yes
2025-03-03,750,780,break,confirmed,yes
