id,scenario,events,status,before_leave_days_per_week,after_leave_days_per_week,before_break_days_per_week,after_break_days_per_week,before_after_hours_per_week,after_after_hours_per_week
1,baseline,1209,pass,0.359,0.41,4.795,4.744,0.0,0.0
2,leave_protected,1211,pass,0.359,0.41,4.795,4.744,0.0,0.0
3,leave_declines,1213,pass,0.359,0.256,4.795,4.897,0.0,0.0
4,leave_increases,1180,pass,0.359,0.641,4.795,4.513,0.0,0.0
5,after_hours_rises,1389,pass,0.359,0.41,4.795,4.744,0.0,4.744
6,breaks_decline,1021,pass,0.359,0.41,4.795,0.0,0.0,0.0
7,appointments_rescheduled,1204,pass,0.359,0.59,4.795,4.744,0.0,0.0
8,team_heavy,1212,pass,0.359,0.41,4.795,4.744,0.0,0.0
9,double_booked,1580,pass,0.359,0.41,4.795,4.744,0.0,0.0
10,sparse,703,pass,0.359,0.41,4.795,4.744,0.0,0.0
11,ai_labeled,1394,pass,0.359,0.41,4.795,4.744,0.0,0.0
12,sick_time_variable,1175,pass,0.487,0.513,4.667,4.641,0.0,0.0
13,holidays,1206,pass,0.359,0.41,4.795,4.744,0.0,0.0
14,conflicting_leave_work,1247,pass,0.513,0.59,4.795,4.744,0.0,0.0
15,mixed_complex,1943,pass,0.359,0.41,4.795,4.744,0.0,4.744
16,baseline,1210,pass,0.359,0.41,4.795,4.744,0.0,0.0
17,leave_protected,1220,pass,0.359,0.41,4.795,4.744,0.0,0.0
18,leave_declines,1217,pass,0.359,0.256,4.795,4.897,0.0,0.0
19,leave_increases,1194,pass,0.359,0.641,4.795,4.513,0.0,0.0
20,after_hours_rises,1397,pass,0.359,0.41,4.795,4.744,0.0,4.744
21,breaks_decline,1026,pass,0.359,0.41,4.795,0.0,0.0,0.0
22,appointments_rescheduled,1221,pass,0.359,0.59,4.795,4.744,0.0,0.0
23,team_heavy,1200,pass,0.359,0.41,4.795,4.744,0.0,0.0
24,double_booked,1565,pass,0.359,0.41,4.795,4.744,0.0,0.0
25,sparse,713,pass,0.359,0.41,4.795,4.744,0.0,0.0
26,ai_labeled,1381,pass,0.359,0.41,4.795,4.744,0.0,0.0
27,sick_time_variable,1185,pass,0.487,0.513,4.667,4.641,0.0,0.0
28,holidays,1197,pass,0.359,0.41,4.795,4.744,0.0,0.0
29,conflicting_leave_work,1233,pass,0.513,0.59,4.795,4.744,0.0,0.0
30,mixed_complex,1940,pass,0.359,0.41,4.795,4.744,0.0,4.744
31,baseline,1211,pass,0.359,0.41,4.795,4.744,0.0,0.0
32,leave_protected,1212,pass,0.359,0.41,4.795,4.744,0.0,0.0
33,leave_declines,1198,pass,0.359,0.256,4.795,4.897,0.0,0.0
34,leave_increases,1183,pass,0.359,0.641,4.795,4.513,0.0,0.0
