date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,08:00,09:00,Forecast Review,No,forecast,West Sales Director,yes,confirmed
2026-01-05,09:00,10:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-05,10:00,11:00,Leadership Sync,No,leadership,Product VP,yes,confirmed
2026-01-05,11:00,12:00,Team Coaching,No,team,Revenue Ops;East Sales Director;Account Team,yes,confirmed
2026-01-05,12:00,13:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-05,13:00,14:00,Customer / Account Review,No,customer,Customer;Account Team;Sales Rep,no,confirmed
2026-01-05,14:00,15:00,Learning Block,No,learning,,yes,confirmed
2026-01-05,15:00,16:00,Internal Working Session,No,internal,Revenue Ops;CRO;East Sales Director,yes,cancelled
2026-01-06,08:00,09:00,Customer / Account Review,No,customer,Customer;Account Team,yes,confirmed
2026-01-06,09:00,10:00,Team Coaching,No,team,Regional VP,yes,declined
2026-01-06,10:00,11:00,Team Coaching,No,team,Regional VP;Account Team,yes,confirmed
2026-01-06,11:00,12:00,Team Coaching,No,team,Enablement Lead,yes,confirmed
2026-01-06,12:00,13:00,Leadership Sync,No,leadership,CFO;Legal,yes,confirmed
2026-01-06,13:00,14:00,Team Coaching,No,team,West Sales Director;Account Team;Regional VP,yes,confirmed
2026-01-06,14:00,15:00,Learning Block,No,learning,,yes,confirmed
2026-01-06,15:00,16:00,Leadership Sync,No,leadership,Finance;Marketing VP,yes,confirmed
2026-01-07,08:00,09:00,Learning Block,No,learning,,no,confirmed
2026-01-07,09:00,10:00,Internal Working Session,No,internal,CRO;Enablement Lead;Legal,yes,confirmed
2026-01-07,10:00,11:00,Forecast Review,No,forecast,Regional VP,yes,confirmed
2026-01-07,11:00,12:00,Learning Block,No,learning,,yes,confirmed
2026-01-07,12:00,13:00,Pipeline Review,No,pipeline,Sales Rep;Revenue Ops,yes,confirmed
2026-01-07,13:00,14:00,Forecast Review,No,forecast,Sales Ops;Regional VP;Enablement Lead,yes,confirmed
2026-01-07,14:00,15:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-07,15:00,16:00,Team Coaching,No,team,Enablement Lead;West Sales Director,yes,confirmed
2026-01-08,08:00,09:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-08,09:00,10:00,Forecast Review,No,forecast,Revenue Ops;Regional VP;West Sales Director,yes,confirmed
2026-01-08,10:00,11:00,Pipeline Review,No,pipeline,Sales Ops;Enablement Lead,yes,confirmed
2026-01-08,11:00,12:00,Team Coaching,No,team,Enablement Lead;Sales Rep,yes,confirmed
2026-01-08,12:00,13:00,Forecast Review,No,forecast,Sales Ops;East Sales Director,yes,confirmed
2026-01-08,13:00,14:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-08,14:00,15:00,Leadership Sync,No,leadership,Finance,yes,confirmed
2026-01-08,15:00,16:00,Internal Working Session,No,internal,CRO;Regional VP;CFO,yes,confirmed
2026-01-09,08:00,09:00,Leadership Sync,No,leadership,CRO;Marketing VP,yes,confirmed
2026-01-09,09:00,10:00,Pipeline Review,No,pipeline,West Sales Director;Revenue Ops,yes,confirmed
2026-01-09,10:00,11:00,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-09,11:00,12:00,Leadership Sync,No,leadership,Legal;Product VP,yes,declined
2026-01-09,12:00,13:00,Learning Block,No,learning,,yes,confirmed
2026-01-09,13:00,14:00,Forecast Review,No,forecast,Account Team;East Sales Director,no,confirmed
2026-01-09,14:00,15:00,Forecast Review,No,forecast,Sales Rep;Regional VP;Sales Ops,yes,confirmed
2026-01-09,15:00,16:00,Pipeline Review,No,pipeline,West Sales Director,yes,confirmed
2026-01-12,08:00,09:00,Leadership Sync,No,leadership,Legal;CFO,yes,confirmed
2026-01-12,09:00,10:00,Leadership Sync,No,leadership,CRO,yes,confirmed
2026-01-12,10:00,11:00,Learning Block,No,learning,,yes,confirmed
2026-01-12,11:00,12:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-12,12:00,13:00,Forecast Review,No,forecast,Revenue Ops;Sales Rep,yes,confirmed
2026-01-12,13:00,14:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-12,14:00,15:00,Customer / Account Review,No,customer,Customer;Enablement Lead,no,confirmed
2026-01-12,15:00,16:00,Customer / Account Review,No,customer,Customer;East Sales Director,yes,confirmed
2026-01-13,08:00,09:00,Customer / Account Review,No,customer,Customer,no,confirmed
2026-01-13,09:00,10:00,Team Coaching,No,team,Enablement Lead;Sales Ops,yes,declined
2026-01-13,10:00,11:00,Learning Block,No,learning,,yes,confirmed
2026-01-13,11:00,12:00,Leadership Sync,No,leadership,CRO,yes,confirmed
2026-01-13,12:00,13:00,Strategy & Planning,No,strategy,,yes,confirmed
