date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,08:00,08:30,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-05,08:40,09:40,Leadership Sync,No,leadership,CFO;Finance,yes,confirmed
2026-01-05,10:10,10:40,Internal Working Session,No,internal,Enablement Lead,yes,confirmed
2026-01-05,10:40,11:25,Forecast Review,No,forecast,West Sales Director;Regional VP,yes,confirmed
2026-01-05,11:25,12:25,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-05,12:35,13:20,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-05,13:20,14:20,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-05,14:50,15:35,Leadership Sync,No,leadership,Product VP;Finance,yes,confirmed
2026-01-05,15:50,16:35,Team Coaching,No,team,Account Team;East Sales Director,yes,confirmed
2026-01-06,08:00,09:00,Forecast Review,No,forecast,Sales Ops;Regional VP,yes,confirmed
2026-01-06,09:00,09:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,09:45,10:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,10:45,11:15,Pipeline Review,No,pipeline,Revenue Ops,yes,confirmed
2026-01-06,11:45,12:30,Internal Working Session,No,internal,Account Team;CRO;Product VP,yes,confirmed
2026-01-06,12:40,13:25,Learning Block,No,learning,,yes,confirmed
2026-01-06,13:55,14:25,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,14:55,15:55,Forecast Review,No,forecast,Regional VP;Enablement Lead,yes,confirmed
2026-01-06,16:10,16:40,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,16:40,17:10,Internal Working Session,No,internal,CFO;East Sales Director;Marketing VP,yes,confirmed
2026-01-07,08:00,08:45,Forecast Review,No,forecast,East Sales Director;Enablement Lead;West Sales Director,yes,confirmed
2026-01-07,09:15,10:00,Team Coaching,No,team,West Sales Director;Sales Rep,yes,confirmed
2026-01-07,10:15,11:15,Pipeline Review,No,pipeline,Account Team,yes,confirmed
2026-01-07,11:25,11:55,Forecast Review,No,forecast,Enablement Lead,yes,confirmed
2026-01-07,11:55,12:25,Pipeline Review,No,pipeline,Enablement Lead;Sales Ops,yes,confirmed
2026-01-07,12:25,13:10,Forecast Review,No,forecast,Revenue Ops;East Sales Director,yes,confirmed
2026-01-07,13:25,13:55,Learning Block,No,learning,,yes,confirmed
2026-01-07,14:25,15:10,Pipeline Review,No,pipeline,Sales Rep,yes,confirmed
2026-01-07,15:25,16:25,Forecast Review,No,forecast,Enablement Lead;Sales Rep,yes,cancelled
2026-01-08,08:00,08:30,Forecast Review,No,forecast,Enablement Lead;Sales Rep,yes,confirmed
2026-01-08,08:30,09:00,Team Coaching,No,team,West Sales Director;Sales Rep,yes,confirmed
2026-01-08,09:10,10:10,Team Coaching,No,team,Regional VP;West Sales Director,yes,declined
2026-01-08,10:25,11:10,Internal Working Session,No,internal,Revenue Ops;Legal,yes,confirmed
2026-01-08,11:10,11:55,Internal Working Session,No,internal,Enablement Lead;Account Team,yes,confirmed
2026-01-08,11:55,12:40,Leadership Sync,No,leadership,Legal,yes,confirmed
2026-01-08,12:40,13:10,Customer / Account Review,No,customer,Customer;Regional VP,yes,confirmed
2026-01-08,13:25,14:10,Leadership Sync,No,leadership,Finance;CFO,yes,confirmed
2026-01-09,08:00,08:30,Team Coaching,No,team,Regional VP,yes,confirmed
2026-01-09,08:45,09:30,Learning Block,No,learning,,yes,confirmed
2026-01-09,09:30,10:30,Learning Block,No,learning,,yes,confirmed
2026-01-09,10:30,11:30,Leadership Sync,No,leadership,Marketing VP,yes,confirmed
2026-01-09,12:00,12:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-09,13:00,13:30,Learning Block,No,learning,,yes,confirmed
2026-01-09,13:30,14:15,Learning Block,No,learning,,yes,confirmed
2026-01-09,14:45,15:45,Leadership Sync,No,leadership,Finance;Product VP,yes,confirmed
2026-01-09,16:00,16:45,Pipeline Review,No,pipeline,Regional VP;West Sales Director,yes,confirmed
2026-01-12,08:00,08:45,Internal Working Session,No,internal,Sales Rep;Finance,yes,confirmed
