date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,08:00,08:45,Strategy & Planning,No,strategy,,no,confirmed
2026-01-05,08:45,09:30,Forecast Review,No,forecast,Regional VP;East Sales Director,yes,declined
2026-01-05,09:30,10:30,Learning Block,No,learning,,yes,confirmed
2026-01-05,10:30,11:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,08:00,09:00,Learning Block,No,learning,,yes,confirmed
2026-01-06,09:10,09:40,Forecast Review,No,forecast,Revenue Ops;Enablement Lead,yes,confirmed
2026-01-06,10:10,10:40,Pipeline Review,No,pipeline,Account Team;Revenue Ops;West Sales Director,yes,confirmed
2026-01-06,10:40,11:40,Leadership Sync,No,leadership,Marketing VP,yes,confirmed
2026-01-06,11:50,12:50,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,13:05,13:35,Customer / Account Review,No,customer,Customer;East Sales Director;Enablement Lead,yes,confirmed
2026-01-07,08:00,09:00,Team Coaching,No,team,East Sales Director;Sales Rep;Regional VP,yes,confirmed
2026-01-07,09:30,10:00,Pipeline Review,No,pipeline,West Sales Director;Account Team;Revenue Ops,yes,confirmed
2026-01-07,10:00,11:00,Forecast Review,No,forecast,Sales Rep,yes,confirmed
2026-01-07,11:00,12:00,Forecast Review,No,forecast,East Sales Director;Revenue Ops;Sales Rep,yes,confirmed
2026-01-07,12:00,13:00,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-08,08:00,08:45,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-08,08:45,09:45,Pipeline Review,No,pipeline,Regional VP,yes,confirmed
2026-01-08,10:00,10:45,Internal Working Session,No,internal,Sales Rep;Revenue Ops,yes,confirmed
2026-01-08,10:55,11:25,Team Coaching,No,team,Revenue Ops;Account Team;Sales Rep,yes,confirmed
2026-01-08,11:55,12:25,Forecast Review,No,forecast,Account Team;Regional VP;Sales Rep,yes,confirmed
2026-01-08,12:35,13:20,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-09,08:00,08:45,Learning Block,No,learning,,yes,confirmed
2026-01-09,09:00,10:00,Team Coaching,No,team,Enablement Lead;East Sales Director;Regional VP,yes,confirmed
2026-01-09,10:30,11:15,Leadership Sync,No,leadership,Finance;CRO,yes,confirmed
2026-01-09,11:45,12:45,Team Coaching,No,team,Regional VP,yes,confirmed
2026-01-09,12:45,13:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-09,13:45,14:45,Learning Block,No,learning,,yes,confirmed
2026-01-12,08:00,09:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-12,09:00,09:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-12,10:15,11:00,Team Coaching,No,team,Enablement Lead,yes,declined
2026-01-12,11:00,11:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-12,11:30,12:00,Leadership Sync,No,leadership,Finance;Marketing VP,yes,confirmed
