date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,09:15,10:00,Conflicting Commitment,No,leadership,West Sales Director;Sales Ops,yes,confirmed
2026-01-05,08:00,08:30,Leadership Sync,No,leadership,Product VP;CFO,yes,confirmed
2026-01-05,08:45,09:15,Team Coaching,No,team,East Sales Director;Account Team,yes,confirmed
2026-01-05,09:15,09:45,Customer / Account Review,No,customer,Customer;Revenue Ops;Enablement Lead,yes,confirmed
2026-01-05,09:55,10:40,Internal Working Session,No,internal,Sales Rep;Finance,yes,confirmed
2026-01-05,11:10,12:10,Leadership Sync,No,leadership,Product VP;CFO,yes,confirmed
2026-01-05,12:40,13:40,Leadership Sync,No,leadership,Finance,yes,confirmed
2026-01-05,13:50,14:35,Leadership Sync,No,leadership,Legal;CFO,yes,confirmed
2026-01-05,15:05,15:35,Pipeline Review,No,pipeline,Sales Rep,yes,confirmed
2026-01-05,15:45,16:15,Leadership Sync,No,leadership,CFO,no,confirmed
2026-01-06,13:50,14:50,Conflicting Commitment,No,team,Account Team;CFO,yes,confirmed
2026-01-06,08:30,09:30,Conflicting Commitment,No,customer,Sales Ops;West Sales Director,yes,tentative
2026-01-06,08:00,08:30,Forecast Review,No,forecast,Sales Rep;Account Team;West Sales Director,yes,confirmed
2026-01-06,09:00,09:45,Team Coaching,No,team,East Sales Director,yes,confirmed
2026-01-06,09:45,10:15,Leadership Sync,No,leadership,CRO,yes,confirmed
2026-01-06,10:25,11:25,Team Coaching,No,team,Account Team;Enablement Lead,yes,confirmed
2026-01-06,11:40,12:40,Pipeline Review,No,pipeline,Regional VP,yes,confirmed
2026-01-06,12:40,13:25,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,13:35,14:35,Team Coaching,No,team,Account Team;Regional VP,yes,confirmed
2026-01-06,14:50,15:35,Learning Block,No,learning,,yes,confirmed
2026-01-07,13:10,13:40,Conflicting Commitment,No,customer,Enablement Lead;Account Team,yes,tentative
2026-01-07,15:05,16:05,Conflicting Commitment,No,customer,West Sales Director;Product VP,yes,confirmed
