date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,08:00,09:00,Pipeline Review,No,pipeline,East Sales Director;Sales Ops,yes,confirmed
2026-01-05,09:30,10:00,Team Coaching,No,team,Account Team,yes,confirmed
2026-01-05,10:15,10:45,Team Coaching,No,team,Sales Rep;East Sales Director,yes,confirmed
2026-01-05,10:45,11:30,Pipeline Review,No,pipeline,West Sales Director;Regional VP,yes,confirmed
2026-01-05,11:30,12:00,Team Coaching,No,team,Revenue Ops;Sales Rep,yes,confirmed
2026-01-05,12:00,12:45,Team Coaching,No,team,Sales Ops;Regional VP,no,confirmed
2026-01-05,13:15,14:15,Pipeline Review,No,pipeline,Sales Ops,no,confirmed
2026-01-05,14:15,15:00,Team Coaching,No,team,West Sales Director;Account Team,yes,confirmed
2026-01-05,15:00,15:45,Team Coaching,No,team,Sales Ops;Enablement Lead,yes,confirmed
2026-01-06,08:00,08:45,Leadership Sync,No,leadership,Finance,yes,confirmed
2026-01-06,09:15,10:00,Pipeline Review,No,pipeline,Sales Ops;East Sales Director,yes,confirmed
2026-01-06,10:10,11:10,Team Coaching,No,team,Regional VP,yes,confirmed
2026-01-06,11:10,11:40,Team Coaching,No,team,West Sales Director;Sales Ops,yes,confirmed
2026-01-06,11:40,12:10,Leadership Sync,No,leadership,CFO,yes,confirmed
2026-01-06,12:25,12:55,Team Coaching,No,team,Sales Ops;Revenue Ops,yes,confirmed
2026-01-06,13:05,13:50,Team Coaching,No,team,Sales Ops;Regional VP,yes,confirmed
2026-01-07,08:00,09:00,Team Coaching,No,team,East Sales Director;Sales Ops,yes,confirmed
2026-01-07,09:30,10:30,Leadership Sync,No,leadership,Finance,yes,confirmed
2026-01-07,10:30,11:00,Team Coaching,No,team,West Sales Director;Sales Rep,yes,cancelled
2026-01-07,11:00,12:00,Leadership Sync,No,leadership,CFO,yes,confirmed
2026-01-07,12:30,13:30,Team Coaching,No,team,Account Team,yes,confirmed
2026-01-07,13:30,14:15,Leadership Sync,No,leadership,Legal,yes,cancelled
2026-01-07,14:30,15:15,Team Coaching,No,team,Sales Rep;Regional VP;Account Team,yes,confirmed
2026-01-07,15:25,16:10,Leadership Sync,No,leadership,Marketing VP,yes,confirmed
2026-01-07,16:10,16:55,Team Coaching,No,team,Sales Ops;Revenue Ops;Enablement Lead,yes,confirmed
2026-01-08,08:00,08:45,Team Coaching,No,team,Sales Ops;Account Team,yes,confirmed
2026-01-08,09:00,10:00,Team Coaching,No,team,Enablement Lead;Regional VP,yes,declined
2026-01-08,10:30,11:30,Team Coaching,No,team,Sales Rep,yes,confirmed
2026-01-08,11:30,12:00,Team Coaching,No,team,Regional VP,yes,confirmed
2026-01-08,12:15,13:00,Pipeline Review,No,pipeline,Sales Ops;Account Team,yes,confirmed
2026-01-08,13:30,14:30,Pipeline Review,No,pipeline,Sales Rep,yes,confirmed
2026-01-08,15:00,15:30,Leadership Sync,No,leadership,Finance,yes,confirmed
2026-01-08,15:40,16:25,Leadership Sync,No,leadership,CFO;CRO,yes,confirmed
2026-01-08,16:40,17:30,Team Coaching,No,team,Sales Ops;West Sales Director;Enablement Lead,yes,confirmed
2026-01-09,08:00,09:00,Leadership Sync,No,leadership,CFO,yes,confirmed
2026-01-09,09:00,09:45,Team Coaching,No,team,West Sales Director;Regional VP;Sales Rep,yes,confirmed
2026-01-09,09:55,10:25,Pipeline Review,No,pipeline,Sales Rep;Account Team;Regional VP,yes,confirmed
2026-01-09,10:25,11:25,Pipeline Review,No,pipeline,Sales Rep,yes,confirmed
2026-01-09,11:55,12:55,Team Coaching,No,team,Regional VP;Sales Ops,yes,confirmed
2026-01-09,13:10,14:10,Team Coaching,No,team,Sales Ops,yes,confirmed
2026-01-09,14:10,14:55,Team Coaching,No,team,Enablement Lead;Regional VP,yes,confirmed
2026-01-12,08:00,09:00,Pipeline Review,No,pipeline,West Sales Director;Sales Ops,yes,confirmed
2026-01-12,09:15,09:45,Team Coaching,No,team,Sales Ops;Regional VP;Sales Rep,yes,confirmed
2026-01-12,09:45,10:45,Team Coaching,No,team,Sales Ops;East Sales Director,yes,confirmed
2026-01-12,11:00,12:00,Team Coaching,No,team,West Sales Director;Revenue Ops,yes,confirmed
2026-01-12,12:10,12:40,Pipeline Review,No,pipeline,Enablement Lead;Regional VP,yes,confirmed
2026-01-12,12:50,13:35,Pipeline Review,No,pipeline,Revenue Ops;East Sales Director,yes,confirmed
2026-01-12,13:35,14:05,Pipeline Review,No,pipeline,Sales Ops;Sales Rep;West Sales Director,yes,confirmed
2026-01-13,08:00,08:30,Leadership Sync,No,leadership,CRO;Legal,yes,confirmed
2026-01-13,08:45,09:45,Team Coaching,No,team,Revenue Ops;West Sales Director;Enablement Lead,yes,confirmed
2026-01-13,09:55,10:55,Pipeline Review,No,pipeline,West Sales Director;Account Team,yes,confirmed
2026-01-13,10:55,11:40,Pipeline Review,No,pipeline,East Sales Director;West Sales Director;Enablement Lead,yes,confirmed
2026-01-13,12:10,13:10,Leadership Sync,No,leadership,Product VP;Marketing VP,yes,confirmed
2026-01-13,13:20,14:05,Team Coaching,No,team,Account Team;East Sales Director;Sales Ops,yes,confirmed
2026-01-13,14:15,15:15,Team Coaching,No,team,Sales Rep,yes,confirmed
2026-01-14,08:00,08:30,Pipeline Review,No,pipeline,East Sales Director,no,confirmed
2026-01-14,08:30,09:15,Team Coaching,No,team,Regional VP;Sales Rep,yes,confirmed
2026-01-14,09:15,09:45,Pipeline Review,No,pipeline,Regional VP;East Sales Director;Sales Rep,yes,confirmed
2026-01-14,09:45,10:45,Team Coaching,No,team,Account Team,yes,confirmed
2026-01-14,10:45,11:15,Team Coaching,No,team,West Sales Director,yes,confirmed
2026-01-14,11:25,11:55,Pipeline Review,No,pipeline,Account Team;East Sales Director;Revenue Ops,yes,confirmed
2026-01-14,11:55,12:55,Team Coaching,No,team,Sales Ops,yes,confirmed
2026-01-15,08:00,09:00,Team Coaching,No,team,Revenue Ops;Regional VP;Account Team,yes,confirmed
2026-01-15,09:30,10:00,Pipeline Review,No,pipeline,Sales Ops;Enablement Lead,yes,confirmed
2026-01-15,10:00,11:00,Team Coaching,No,team,Sales Rep;Regional VP,yes,confirmed
2026-01-15,11:00,11:30,Leadership Sync,No,leadership,Marketing VP,yes,confirmed
2026-01-15,11:30,12:15,Team Coaching,No,team,Revenue Ops;Account Team,yes,confirmed
2026-01-15,12:45,13:45,Pipeline Review,No,pipeline,Sales Rep;West Sales Director,yes,confirmed
2026-01-15,13:45,14:45,Team Coaching,No,team,East Sales Director;West Sales Director,yes,confirmed
2026-01-15,14:45,15:45,Pipeline Review,No,pipeline,Account Team,yes,confirmed
2026-01-15,15:55,16:25,Team Coaching,No,team,Account Team;Revenue Ops;East Sales Director,yes,confirmed
2026-01-16,08:00,09:00,Pipeline Review,No,pipeline,Enablement Lead;East Sales Director;Account Team,yes,confirmed
2026-01-16,09:00,09:45,Team Coaching,No,team,Regional VP;Revenue Ops,yes,confirmed
2026-01-16,10:15,10:45,Leadership Sync,No,leadership,CFO;CRO,yes,confirmed
2026-01-16,10:45,11:15,Team Coaching,No,team,Regional VP;Revenue Ops;Sales Rep,yes,confirmed
2026-01-16,11:25,11:55,Pipeline Review,No,pipeline,Enablement Lead;Regional VP,yes,confirmed
2026-01-16,12:10,12:55,Pipeline Review,No,pipeline,Account Team,yes,confirmed
2026-01-16,12:55,13:40,Team Coaching,No,team,Account Team,yes,confirmed
2026-01-19,08:00,08:45,Team Coaching,No,team,Enablement Lead;Sales Ops;Sales Rep,yes,confirmed
2026-01-19,08:55,09:40,Leadership Sync,No,leadership,Marketing VP;CFO,yes,confirmed
2026-01-19,09:55,10:55,Team Coaching,No,team,Account Team;East Sales Director;Enablement Lead,yes,confirmed
2026-01-19,10:55,11:40,Leadership Sync,No,leadership,CRO;Legal,yes,confirmed
2026-01-19,12:10,12:55,Team Coaching,No,team,Sales Rep,yes,confirmed
2026-01-19,13:25,14:25,Leadership Sync,No,leadership,CFO,yes,confirmed
2026-01-19,14:40,15:40,Team Coaching,No,team,East Sales Director;Enablement Lead,yes,confirmed
2026-01-19,15:40,16:40,Team Coaching,No,team,Regional VP;East Sales Director;Sales Ops,no,confirmed
2026-01-19,16:55,17:30,Team Coaching,No,team,Enablement Lead;Account Team,yes,confirmed
2026-01-20,08:00,08:30,Team Coaching,No,team,Account Team;Enablement Lead,yes,confirmed
2026-01-20,08:30,09:15,Team Coaching,No,team,Sales Rep;Account Team,yes,confirmed
2026-01-20,09:15,10:15,Team Coaching,No,team,Regional VP,yes,confirmed
2026-01-20,10:25,11:25,Team Coaching,No,team,Account Team;Sales Rep,yes,confirmed
2026-01-20,11:25,12:25,Team Coaching,No,team,Revenue Ops;Sales Rep,yes,confirmed
2026-01-20,12:25,13:25,Pipeline Review,No,pipeline,West Sales Director,yes,confirmed
2026-01-20,13:25,14:10,Team Coaching,No,team,Regional VP;Sales Rep,yes,confirmed
2026-01-20,14:20,15:05,Pipeline Review,No,pipeline,West Sales Director;East Sales Director;Enablement Lead,yes,cancelled
2026-01-21,08:00,08:30,Team Coaching,No,team,Account Team,yes,confirmed
2026-01-21,08:30,09:15,Team Coaching,No,team,East Sales Director;Regional VP,yes,confirmed
2026-01-21,09:25,09:55,Team Coaching,No,team,East Sales Director;Revenue Ops;Enablement Lead,yes,confirmed
2026-01-21,10:25,11:10,Team Coaching,No,team,Account Team;Sales Ops,yes,confirmed
2026-01-21,11:20,11:50,Team Coaching,No,team,Revenue Ops;Account Team;East Sales Director,yes,confirmed
2026-01-21,12:05,13:05,Team Coaching,No,team,East Sales Director;West Sales Director;Sales Ops,yes,confirmed
2026-01-21,13:05,13:35,Pipeline Review,No,pipeline,Account Team;Revenue Ops,yes,confirmed
2026-01-21,13:35,14:20,Leadership Sync,No,leadership,Marketing VP,yes,confirmed
2026-01-22,08:00,08:45,Team Coaching,No,team,Sales Ops,yes,confirmed
2026-01-22,08:55,09:25,Team Coaching,No,team,Sales Rep,yes,confirmed
2026-01-22,09:40,10:25,Team Coaching,No,team,Regional VP;East Sales Director,no,confirmed
2026-01-22,10:35,11:05,Pipeline Review,No,pipeline,Sales Rep;Regional VP;East Sales Director,yes,confirmed
2026-01-22,11:05,12:05,Pipeline Review,No,pipeline,Revenue Ops,yes,confirmed
2026-01-22,12:35,13:35,Team Coaching,No,team,West Sales Director;Revenue Ops;Sales Rep,yes,confirmed
2026-01-22,13:35,14:05,Team Coaching,No,team,Sales Rep,yes,confirmed
2026-01-22,14:20,15:05,Team Coaching,No,team,Regional VP,yes,confirmed
2026-01-22,15:05,15:35,Pipeline Review,No,pipeline,Account Team,no,confirmed
2026-01-23,08:00,08:45,Team Coaching,No,team,Account Team,yes,confirmed
2026-01-23,08:45,09:45,Leadership Sync,No,leadership,CRO,yes,confirmed
2026-01-23,10:00,11:00,Team Coaching,No,team,Sales Rep;West Sales Director;Account Team,yes,confirmed
2026-01-23,11:00,12:00,Leadership Sync,No,leadership,Marketing VP;Product VP,yes,confirmed
2026-01-23,12:15,12:45,Team Coaching,No,team,Regional VP;Sales Ops;West Sales Director,yes,confirmed
2026-01-23,12:45,13:45,Leadership Sync,No,leadership,Legal,yes,confirmed
2026-01-23,14:00,14:45,Team Coaching,No,team,East Sales Director,yes,confirmed
2026-01-23,14:55,15:25,Pipeline Review,No,pipeline,Regional VP;Revenue Ops,yes,confirmed
2026-01-23,15:25,16:25,Team Coaching,No,team,Sales Rep;Account Team;Sales Ops,yes,confirmed
2026-01-26,08:00,08:30,Team Coaching,No,team,Enablement Lead;Regional VP,yes,confirmed
2026-01-26,09:00,09:45,Team Coaching,No,team,Account Team,yes,confirmed
2026-01-26,09:55,10:25,Pipeline Review,No,pipeline,Revenue Ops;West Sales Director;Sales Ops,no,confirmed
2026-01-26,10:40,11:40,Team Coaching,No,team,Sales Ops,yes,confirmed
2026-01-26,11:40,12:10,Team Coaching,No,team,West Sales Director;Sales Ops,yes,confirmed
2026-01-26,12:20,13:20,Team Coaching,No,team,Enablement Lead;Sales Rep;East Sales Director,yes,confirmed
2026-01-26,13:20,13:50,Team Coaching,No,team,Account Team;Sales Ops,yes,confirmed
2026-01-27,08:00,08:30,Leadership Sync,No,leadership,CRO,yes,confirmed
2026-01-27,08:45,09:15,Leadership Sync,No,leadership,Product VP,no,confirmed
2026-01-27,09:15,09:45,Team Coaching,No,team,Revenue Ops;Enablement Lead;Regional VP,no,confirmed
2026-01-27,10:15,10:45,Team Coaching,No,team,Enablement Lead;Sales Rep;Revenue Ops,yes,confirmed
2026-01-27,10:45,11:30,Team Coaching,No,team,Account Team;Sales Ops;Regional VP,yes,confirmed
2026-01-27,11:30,12:00,Pipeline Review,No,pipeline,Sales Ops,yes,confirmed
2026-01-27,12:00,12:45,Pipeline Review,No,pipeline,Sales Ops;Regional VP,yes,confirmed
2026-01-28,08:00,08:30,Pipeline Review,No,pipeline,Regional VP,yes,confirmed
2026-01-28,08:45,09:15,Team Coaching,No,team,Sales Ops;East Sales Director;West Sales Director,yes,confirmed
2026-01-28,09:30,10:30,Team Coaching,No,team,Sales Rep;Regional VP,yes,confirmed
2026-01-28,10:45,11:30,Leadership Sync,No,leadership,Legal;CFO,yes,confirmed
2026-01-28,11:30,12:30,Leadership Sync,No,leadership,Product VP;Legal,yes,confirmed
2026-01-28,12:45,13:15,Team Coaching,No,team,Enablement Lead,yes,confirmed
2026-01-28,13:45,14:45,Team Coaching,No,team,East Sales Director,yes,confirmed
2026-01-28,15:00,16:00,Pipeline Review,No,pipeline,Sales Ops;Enablement Lead;Account Team,yes,confirmed
2026-01-28,16:30,17:30,Team Coaching,No,team,Regional VP,yes,cancelled
2026-01-29,08:00,08:30,Team Coaching,No,team,Account Team;Revenue Ops,yes,confirmed
2026-01-29,08:30,09:15,Team Coaching,No,team,Sales Rep;Revenue Ops;West Sales Director,yes,confirmed
2026-01-29,09:30,10:30,Team Coaching,No,team,Enablement Lead;East Sales Director,yes,confirmed
2026-01-29,11:00,12:00,Team Coaching,No,team,Enablement Lead;East Sales Director;Sales Ops,yes,confirmed
2026-01-29,12:15,13:00,Team Coaching,No,team,West Sales Director;Enablement Lead;Revenue Ops,yes,confirmed
2026-01-29,13:00,13:45,Pipeline Review,No,pipeline,Sales Ops;Sales Rep,yes,confirmed
2026-01-29,13:45,14:15,Team Coaching,No,team,Account Team;Sales Rep,yes,confirmed
2026-01-30,08:00,08:30,Team Coaching,No,team,Regional VP;Account Team;West Sales Director,yes,confirmed
2026-01-30,08:30,09:30,Leadership Sync,No,leadership,CRO,yes,confirmed
2026-01-30,10:00,10:45,Team Coaching,No,team,Revenue Ops;East Sales Director;West Sales Director,yes,confirmed
2026-01-30,10:45,11:30,Team Coaching,No,team,Sales Rep;Sales Ops;Revenue Ops,yes,declined
2026-01-30,11:40,12:10,Pipeline Review,No,pipeline,West Sales Director;Account Team;Sales Rep,yes,confirmed
2026-01-30,12:25,13:10,Team Coaching,No,team,Regional VP,yes,confirmed
2026-01-30,13:10,14:10,Leadership Sync,No,leadership,CFO,yes,confirmed
2026-01-30,14:20,15:20,Pipeline Review,No,pipeline,Revenue Ops;East Sales Director;Sales Ops,yes,confirmed
2026-01-30,15:50,16:50,Team Coaching,No,team,West Sales Director,yes,confirmed
