date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,08:00,08:30,Forecast Review,No,forecast,West Sales Director;East Sales Director;Enablement Lead,yes,tentative
2026-01-05,08:45,09:30,Pipeline Review,No,pipeline,East Sales Director;West Sales Director,yes,tentative
2026-01-05,09:45,10:30,Leadership Sync,No,leadership,Finance;Product VP,yes,confirmed
2026-01-05,10:30,11:30,Customer / Account Review,No,customer,Customer;Enablement Lead,yes,confirmed
2026-01-05,11:30,12:00,Internal Working Session,No,internal,Sales Rep;Marketing VP;Finance,yes,tentative
2026-01-05,12:10,13:10,Pipeline Review,No,pipeline,Revenue Ops;Enablement Lead,yes,tentative
2026-01-06,08:00,08:45,Internal Working Session,No,internal,Revenue Ops,yes,confirmed
2026-01-06,08:55,09:25,Forecast Review,No,forecast,Enablement Lead;East Sales Director;Regional VP,yes,tentative
2026-01-06,09:55,10:55,Pipeline Review,No,pipeline,Sales Rep;Account Team,yes,tentative
2026-01-06,10:55,11:55,Pipeline Review,No,pipeline,West Sales Director;Sales Ops,yes,tentative
2026-01-06,11:55,12:55,Learning Block,No,learning,,yes,tentative
2026-01-06,13:10,13:40,Learning Block,No,learning,,yes,tentative
2026-01-07,08:00,08:45,Strategy & Planning,No,strategy,,yes,cancelled
2026-01-07,09:15,10:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-07,10:30,11:30,Pipeline Review,No,pipeline,Account Team,yes,tentative
2026-01-07,11:30,12:30,Learning Block,No,learning,,yes,confirmed
2026-01-07,12:30,13:30,Strategy & Planning,No,strategy,,yes,tentative
2026-01-07,13:45,14:30,Forecast Review,No,forecast,Enablement Lead;East Sales Director,yes,confirmed
2026-01-07,14:30,15:00,Leadership Sync,No,leadership,Finance,yes,tentative
2026-01-07,15:00,16:00,Learning Block,No,learning,,yes,confirmed
2026-01-08,08:00,09:00,Team Coaching,No,team,Account Team,yes,confirmed
2026-01-08,09:15,10:00,Internal Working Session,No,internal,East Sales Director;Marketing VP,yes,tentative
2026-01-08,10:00,10:45,Customer / Account Review,No,customer,Customer;Account Team;Revenue Ops,yes,tentative
2026-01-08,10:45,11:30,Pipeline Review,No,pipeline,Sales Rep;West Sales Director,yes,cancelled
2026-01-08,11:45,12:15,Forecast Review,No,forecast,East Sales Director;Account Team,yes,confirmed
2026-01-08,12:15,12:45,Leadership Sync,No,leadership,Marketing VP,yes,tentative
2026-01-08,12:55,13:40,Internal Working Session,No,internal,Regional VP,yes,confirmed
2026-01-09,08:00,08:30,Leadership Sync,No,leadership,CRO;Marketing VP,yes,tentative
2026-01-09,08:45,09:15,Internal Working Session,No,internal,Enablement Lead;Sales Ops;Product VP,yes,confirmed
2026-01-09,09:15,10:15,Learning Block,No,learning,,yes,tentative
2026-01-09,10:15,10:45,Team Coaching,No,team,West Sales Director,yes,confirmed
2026-01-09,10:55,11:55,Team Coaching,No,team,Account Team;Revenue Ops;Sales Ops,yes,confirmed
2026-01-09,12:25,13:25,Pipeline Review,No,pipeline,Sales Rep;East Sales Director;Account Team,yes,confirmed
2026-01-12,08:00,09:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-12,09:10,09:55,Learning Block,No,learning,,yes,confirmed
2026-01-12,09:55,10:25,Customer / Account Review,No,customer,Customer;Sales Rep;Sales Ops,yes,confirmed
2026-01-12,10:55,11:25,Internal Working Session,No,internal,Legal,no,confirmed
2026-01-12,11:25,12:25,Customer / Account Review,No,customer,Customer;Sales Ops;Enablement Lead,yes,confirmed
2026-01-12,12:55,13:25,Strategy & Planning,No,strategy,,yes,confirmed
