date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,08:00,09:00,Customer / Account Review,No,customer,Customer;East Sales Director;Revenue Ops,yes,confirmed
2026-01-05,09:15,10:15,Customer / Account Review,No,customer,Customer;West Sales Director;Enablement Lead,yes,confirmed
2026-01-05,10:15,11:00,Customer / Account Review,No,customer,Customer;Sales Ops;Sales Rep,yes,confirmed
2026-01-05,11:10,11:40,Team Coaching,No,team,Sales Rep,yes,confirmed
2026-01-05,11:55,12:25,Customer / Account Review,No,customer,Customer;West Sales Director;Sales Rep,yes,confirmed
2026-01-05,12:35,13:20,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-05,13:35,14:20,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-06,08:00,09:00,Customer / Account Review,No,customer,Customer;West Sales Director;Regional VP,yes,confirmed
2026-01-06,09:30,10:15,Customer / Account Review,No,customer,Customer;Revenue Ops;Sales Rep,yes,confirmed
2026-01-06,10:30,11:00,Customer / Account Review,No,customer,Customer;Revenue Ops,yes,confirmed
2026-01-06,11:10,12:10,Team Coaching,No,team,Enablement Lead,yes,confirmed
2026-01-06,12:20,12:50,Team Coaching,No,team,Account Team;Revenue Ops,yes,confirmed
2026-01-06,13:20,14:05,Customer / Account Review,No,customer,Customer;Revenue Ops,yes,confirmed
2026-01-07,08:00,09:00,Pipeline Review,No,pipeline,Regional VP;Enablement Lead;Revenue Ops,yes,confirmed
2026-01-07,09:15,10:15,Pipeline Review,No,pipeline,Revenue Ops,yes,confirmed
2026-01-07,10:45,11:30,Customer / Account Review,No,customer,Customer;Account Team;Sales Ops,yes,confirmed
2026-01-07,11:30,12:30,Customer / Account Review,No,customer,Customer;Regional VP,yes,confirmed
2026-01-07,13:00,13:30,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-07,13:40,14:10,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-07,14:20,15:20,Pipeline Review,No,pipeline,Enablement Lead,yes,confirmed
2026-01-07,15:20,16:20,Customer / Account Review,No,customer,Customer;Revenue Ops,yes,confirmed
2026-01-08,08:00,08:30,Customer / Account Review,No,customer,Customer;Account Team,yes,confirmed
2026-01-08,08:45,09:45,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-08,09:45,10:45,Pipeline Review,No,pipeline,Revenue Ops;Sales Ops,yes,confirmed
2026-01-08,10:55,11:25,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-08,11:55,12:25,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-08,12:35,13:20,Customer / Account Review,No,customer,Customer;Sales Ops;East Sales Director,yes,confirmed
2026-01-08,13:20,13:50,Team Coaching,No,team,Sales Rep;Enablement Lead,yes,cancelled
2026-01-09,08:00,09:00,Customer / Account Review,No,customer,Customer;Sales Rep;Sales Ops,yes,confirmed
2026-01-09,09:15,10:00,Team Coaching,No,team,East Sales Director;West Sales Director;Sales Ops,yes,confirmed
2026-01-09,10:00,10:45,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-09,10:45,11:30,Customer / Account Review,No,customer,Customer,no,confirmed
2026-01-09,11:30,12:00,Customer / Account Review,No,customer,Customer;Sales Rep,yes,confirmed
2026-01-09,12:00,12:45,Customer / Account Review,No,customer,Customer;Sales Rep,yes,confirmed
2026-01-12,08:00,08:30,Team Coaching,No,team,East Sales Director,yes,confirmed
2026-01-12,08:30,09:30,Customer / Account Review,No,customer,Customer;Regional VP,yes,confirmed
