date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,08:00,09:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-05,09:30,10:00,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-05,10:15,11:15,Pipeline Review,No,pipeline,West Sales Director;Sales Ops;Revenue Ops,yes,confirmed
2026-01-05,11:30,12:15,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-05,12:15,13:00,Forecast Review,No,forecast,East Sales Director,yes,confirmed
2026-01-05,13:00,13:30,Learning Block,No,learning,,yes,confirmed
2026-01-05,13:30,14:30,Forecast Review,No,forecast,Revenue Ops;Regional VP;West Sales Director,yes,confirmed
2026-01-06,08:00,08:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,08:55,09:40,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,09:40,10:40,Learning Block,No,learning,,yes,confirmed
2026-01-06,11:10,12:10,Strategy & Planning,No,strategy,,no,confirmed
2026-01-06,12:10,13:10,Customer / Account Review,No,customer,Customer;Sales Ops;Account Team,yes,confirmed
2026-01-07,08:00,09:00,Strategy & Planning,No,strategy,,no,confirmed
2026-01-07,09:30,10:00,Customer / Account Review,No,customer,Customer;Regional VP;East Sales Director,yes,confirmed
2026-01-07,10:00,10:30,Internal Working Session,No,internal,Revenue Ops,yes,confirmed
2026-01-07,10:40,11:25,Strategy & Planning,No,strategy,,yes,declined
2026-01-07,11:35,12:05,Pipeline Review,No,pipeline,Sales Rep;Revenue Ops;Sales Ops,no,confirmed
2026-01-07,12:35,13:20,Pipeline Review,No,pipeline,Account Team;Enablement Lead;West Sales Director,yes,confirmed
2026-01-08,08:00,08:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-08,09:00,09:45,Forecast Review,No,forecast,Sales Ops;Account Team,yes,confirmed
2026-01-08,10:15,10:45,Team Coaching,No,team,West Sales Director,yes,confirmed
2026-01-08,10:45,11:45,Strategy & Planning,No,strategy,,no,confirmed
2026-01-08,12:15,13:15,Learning Block,No,learning,,yes,confirmed
2026-01-08,13:45,14:30,Customer / Account Review,No,customer,Customer;Account Team;Sales Rep,no,confirmed
2026-01-09,08:00,08:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-09,09:00,09:30,Leadership Sync,No,leadership,Legal,yes,confirmed
2026-01-09,09:30,10:15,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-09,10:30,11:15,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-09,11:25,12:10,Forecast Review,No,forecast,Sales Ops;Revenue Ops;Sales Rep,yes,confirmed
2026-01-09,12:10,12:55,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-09,13:10,14:10,Customer / Account Review,No,customer,Customer;West Sales Director;Sales Rep,yes,confirmed
2026-01-12,08:00,08:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-12,08:45,09:30,Team Coaching,No,team,Sales Rep;Account Team;Enablement Lead,yes,confirmed
2026-01-12,09:40,10:25,Forecast Review,No,forecast,Enablement Lead;Sales Ops;Regional VP,yes,confirmed
2026-01-12,10:35,11:20,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-12,11:20,11:50,Pipeline Review,No,pipeline,Sales Ops;Enablement Lead;Sales Rep,yes,confirmed
2026-01-12,11:50,12:20,Internal Working Session,No,internal,CFO;Enablement Lead,no,confirmed
2026-01-12,12:20,13:05,Learning Block,No,learning,,yes,confirmed
2026-01-13,08:00,08:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-13,09:15,10:00,Learning Block,No,learning,,yes,confirmed
2026-01-13,10:10,10:55,Learning Block,No,learning,,yes,confirmed
2026-01-13,11:05,11:35,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-13,11:35,12:35,Forecast Review,No,forecast,Revenue Ops,yes,confirmed
2026-01-13,12:35,13:20,Internal Working Session,No,internal,Regional VP;Marketing VP,yes,confirmed
2026-01-14,08:00,08:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-14,08:45,09:15,Pipeline Review,No,pipeline,Enablement Lead;West Sales Director,yes,confirmed
2026-01-14,09:15,10:00,Internal Working Session,No,internal,Sales Rep;Revenue Ops;Enablement Lead,yes,confirmed
2026-01-14,10:00,10:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-14,10:55,11:25,Internal Working Session,No,internal,Product VP;East Sales Director;West Sales Director,yes,confirmed
2026-01-15,08:00,08:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-15,09:00,09:45,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-15,09:45,10:30,Customer / Account Review,No,customer,Customer;Sales Ops;West Sales Director,yes,confirmed
2026-01-15,10:40,11:10,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-15,11:20,12:20,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-16,08:00,08:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-16,08:45,09:15,Learning Block,No,learning,,yes,confirmed
2026-01-16,09:15,09:45,Internal Working Session,No,internal,West Sales Director,yes,confirmed
2026-01-16,09:45,10:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-16,10:45,11:45,Customer / Account Review,No,customer,Customer;Sales Ops,yes,confirmed
2026-01-19,08:00,09:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-19,09:10,10:10,Learning Block,No,learning,,yes,confirmed
2026-01-19,10:20,10:50,Pipeline Review,No,pipeline,Regional VP;East Sales Director;West Sales Director,no,confirmed
2026-01-19,10:50,11:20,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-19,11:20,12:05,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-19,12:35,13:35,Learning Block,No,learning,,yes,confirmed
2026-01-19,13:50,14:35,Learning Block,No,learning,,yes,confirmed
2026-01-20,08:00,08:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-20,09:15,10:15,Internal Working Session,No,internal,Product VP;West Sales Director;Legal,yes,confirmed
2026-01-20,10:45,11:45,Team Coaching,No,team,Revenue Ops,yes,confirmed
2026-01-20,11:45,12:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-20,12:45,13:15,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-20,13:15,13:45,Learning Block,No,learning,,yes,confirmed
2026-01-21,08:00,08:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-21,08:45,09:15,Learning Block,No,learning,,yes,confirmed
2026-01-21,09:45,10:45,Leadership Sync,No,leadership,Finance;Marketing VP,yes,confirmed
2026-01-21,11:15,12:15,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-21,12:25,13:10,Learning Block,No,learning,,yes,confirmed
2026-01-21,13:10,13:40,Customer / Account Review,No,customer,Customer;Sales Ops;West Sales Director,yes,cancelled
2026-01-22,08:00,08:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-22,08:45,09:30,Learning Block,No,learning,,yes,confirmed
2026-01-22,09:30,10:15,Pipeline Review,No,pipeline,Sales Rep;Enablement Lead,yes,confirmed
2026-01-22,10:15,11:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-22,11:00,11:45,Pipeline Review,No,pipeline,Account Team;West Sales Director;Revenue Ops,yes,confirmed
2026-01-22,11:55,12:55,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-22,13:05,13:50,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-23,08:00,08:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-23,08:45,09:45,Customer / Account Review,No,customer,Customer;Revenue Ops,yes,confirmed
2026-01-23,10:15,10:45,Pipeline Review,No,pipeline,Regional VP,yes,confirmed
2026-01-23,11:00,11:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-23,11:30,12:30,Team Coaching,No,team,Sales Ops,yes,confirmed
2026-01-23,12:30,13:15,Forecast Review,No,forecast,Enablement Lead,yes,confirmed
2026-01-26,08:00,08:45,Strategy & Planning,No,strategy,,yes,cancelled
2026-01-26,08:45,09:30,Forecast Review,No,forecast,West Sales Director;Sales Rep;East Sales Director,yes,confirmed
2026-01-26,09:40,10:40,Leadership Sync,No,leadership,CFO,yes,confirmed
2026-01-26,11:10,11:40,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-26,11:55,12:25,Leadership Sync,No,leadership,Marketing VP,yes,confirmed
2026-01-26,12:25,13:25,Leadership Sync,No,leadership,CFO,yes,confirmed
2026-01-26,13:40,14:40,Learning Block,No,learning,,yes,confirmed
2026-01-27,08:00,08:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-27,08:30,09:15,Pipeline Review,No,pipeline,West Sales Director;Revenue Ops,no,confirmed
2026-01-27,09:15,10:00,Forecast Review,No,forecast,Sales Ops,yes,declined
2026-01-27,10:15,10:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-27,11:00,11:30,Pipeline Review,No,pipeline,Sales Ops;Sales Rep;Revenue Ops,yes,confirmed
2026-01-28,08:00,08:45,Strategy & Planning,No,strategy,,no,confirmed
2026-01-28,09:00,09:30,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-28,09:45,10:45,Leadership Sync,No,leadership,Marketing VP;Finance,yes,confirmed
2026-01-28,10:55,11:40,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-28,11:50,12:50,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-28,13:05,13:35,Pipeline Review,No,pipeline,Regional VP;West Sales Director,yes,confirmed
2026-01-28,13:50,14:50,Internal Working Session,No,internal,Marketing VP;Sales Ops;Sales Rep,yes,confirmed
2026-01-29,08:00,08:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-29,08:45,09:30,Team Coaching,No,team,Account Team;Regional VP,yes,confirmed
2026-01-29,09:40,10:25,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-29,10:35,11:20,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-29,11:50,12:50,Leadership Sync,No,leadership,Product VP,yes,confirmed
2026-01-30,08:00,08:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-30,08:30,09:15,Internal Working Session,No,internal,Revenue Ops;Account Team;Sales Rep,yes,confirmed
2026-01-30,09:30,10:30,Learning Block,No,learning,,yes,confirmed
2026-01-30,10:45,11:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-30,11:30,12:00,Internal Working Session,No,internal,Marketing VP;Product VP,yes,confirmed
2026-01-30,12:00,12:45,Learning Block,No,learning,,yes,confirmed
