date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,08:00,08:30,Team Coaching,No,team,West Sales Director,yes,confirmed
2026-01-05,08:40,09:25,AI Capability Development,No,learning,,yes,confirmed
2026-01-05,09:25,10:10,Pipeline Review,No,pipeline,Sales Rep,yes,confirmed
2026-01-05,10:10,11:10,AI Capability Development,No,learning,,yes,confirmed
2026-01-05,11:10,11:40,AI Capability Development,No,learning,,yes,confirmed
2026-01-06,08:00,08:30,Internal Working Session,No,internal,Finance,yes,confirmed
2026-01-06,09:00,09:45,AI Capability Development,No,learning,,yes,confirmed
2026-01-06,10:15,10:45,Pipeline Review,No,pipeline,East Sales Director;Enablement Lead;Sales Ops,yes,confirmed
2026-01-06,10:45,11:45,Forecast Review,No,forecast,West Sales Director,yes,confirmed
2026-01-06,12:15,13:00,AI Capability Development,No,learning,,yes,confirmed
2026-01-06,13:00,13:45,AI Capability Development,No,learning,,yes,confirmed
2026-01-07,08:00,08:30,Pipeline Review,No,pipeline,Sales Rep,yes,confirmed
2026-01-07,08:30,09:15,AI Capability Development,No,learning,,yes,confirmed
2026-01-07,09:15,10:15,Pipeline Review,No,pipeline,Sales Ops;West Sales Director,yes,confirmed
2026-01-07,10:25,11:25,Team Coaching,No,team,Regional VP,yes,confirmed
2026-01-07,11:25,12:25,AI Capability Development,No,learning,,no,confirmed
2026-01-07,12:25,12:55,AI Capability Development,No,learning,,yes,confirmed
2026-01-08,08:00,09:00,Leadership Sync,No,leadership,CFO;Legal,yes,confirmed
2026-01-08,09:00,09:45,AI Capability Development,No,learning,,yes,confirmed
2026-01-08,10:00,10:45,AI Capability Development,No,learning,,yes,confirmed
2026-01-08,11:00,11:45,Internal Working Session,No,internal,West Sales Director;Regional VP;East Sales Director,yes,confirmed
2026-01-08,12:15,12:45,AI Capability Development,No,learning,,yes,confirmed
2026-01-09,08:00,09:00,Team Coaching,No,team,Sales Ops,yes,confirmed
2026-01-09,09:30,10:15,AI Capability Development,No,learning,,yes,confirmed
2026-01-09,10:30,11:00,Customer / Account Review,No,customer,Customer;Sales Rep;Sales Ops,yes,confirmed
2026-01-09,11:30,12:30,Strategy & Planning,No,strategy,,no,confirmed
2026-01-09,13:00,13:45,AI Capability Development,No,learning,,yes,confirmed
2026-01-09,13:45,14:15,Forecast Review,No,forecast,Sales Rep,yes,confirmed
